16113575,6011,1,1,18,5853300,1
16113584,8488,1,1,18,5853200,1
16113594,4743,1,1,18,5853100,1
16120456,923,1,1,18,5859100,-1
16120480,6153,1,1,18,5859200,-1
16120503,4432,1,1,18,5859300,-1
16127688,1347,1,1,100,5850000,1
13919004,4359,1,3,100,5876500,-1
13919027,6001,1,3,200,5876500,-1
13919011,5460,1,3,860,5876500,-1
16166035,1382,1,1,100,5859300,-1
16166067,3429,1,1,5,6989500,-1
16166083,5505,1,1,10,6500000,-1
16166108,2617,1,1,5,5770000,1
16113594,7560,1,3,18,5853100,1
16113584,1903,1,3,18,5853200,1
16120456,4153,1,3,18,5859100,-1
16120503,4641,1,3,18,5859300,-1
16120480,2589,1,3,18,5859200,-1
16166175,3709,1,1,2,5849900,1
16166186,5589,1,1,10,4770000,1
16166226,628,1,1,2,5784900,1
16167159,3096,1,1,18,5853600,1
16167166,9113,1,1,18,5853500,1
3647217,616,1,1,20,5857300,1
5740544,1483,1,1,40,5857400,-1
2109823,3322,1,1,50,5857000,1
3570647,8273,1,1,50,5857500,-1
3237773,607,1,1,20,5856900,1
3647221,1958,1,1,5,5857500,-1
3583158,4323,1,1,5,5856500,1
3647222,8697,1,1,7,5857500,-1
3647220,4321,1,1,20,5856400,1
5230851,3642,1,1,20,5857500,-1
4731250,8715,1,1,3,5856000,1
1373927,6218,1,1,25,5857800,-1
1601225,1180,1,1,20,5857800,-1
2606421,9406,1,1,4,5858000,-1
1364835,9289,1,1,5,5858200,-1
7277867,8737,1,1,7,5858300,-1
16167159,3165,1,3,18,5853600,1
16113575,1479,1,3,18,5853300,1
16167166,2250,1,3,18,5853500,1
16182611,8249,1,1,200,5873000,-1
16182617,5670,1,1,1000,5740000,1
16182626,8594,1,1,65,5997500,-1
16182629,2282,1,1,100,5852500,1
16182630,9398,1,1,10,5500000,1
16182633,4880,1,1,40,5900000,-1
16182649,2456,1,1,50,5857400,1
16182791,7135,1,1,100,6200000,-1
16182821,2206,1,1,100,5300000,1
16182824,5556,1,1,100,5300000,1
15836274,155,1,3,100,5833600,1
15836282,4047,1,3,100,5868900,-1
15847376,2484,1,3,100,5838600,1
15847383,8450,1,3,100,5873900,-1
16183794,7101,1,1,18,5857700,1
16183801,8925,1,1,18,5857600,1
16183806,5927,1,1,18,5857500,1
16186225,1003,1,1,100,5857000,1
16196199,4536,1,1,100,5859300,-1
16201512,1933,1,1,100,6150300,-1
16207125,933,1,1,100,5859400,-1
16182649,8485,1,3,50,5857400,1
16183801,6763,1,3,18,5857600,1
16183806,9890,1,3,18,5857500,1
16207170,758,1,1,100,5859900,-1
16207442,5248,1,1,200,5859800,-1
16211220,5861,1,1,18,5859200,-1
16186225,6726,1,3,100,5857000,1
16220046,7806,1,1,100,5854500,1
16225065,7411,1,1,300,5870000,-1
16225109,5819,1,1,300,5870000,-1
16220046,8119,1,3,100,5854500,1
16235607,1545,1,1,5,5863300,-1
14457628,8944,1,3,100,6961500,-1
16242995,3802,1,1,100,5400000,1
16243008,5410,1,1,100,6313600,-1
16245465,6851,1,1,10,5870700,-1
16196199,2869,1,3,100,5859300,-1
16211220,3566,1,3,18,5859200,-1
16249592,6890,1,1,100,5854400,1
16254041,1409,1,1,20,5820600,1
16254082,8087,1,1,20,5888200,-1
16261926,4901,1,1,50,5849000,1
16265081,1645,1,1,100,5854500,1
16265573,9205,1,1,100,5858700,-1
16265761,206,1,1,67,5854400,1
16265779,3461,1,1,20,5803700,1
16265794,2301,1,1,20,5905100,-1
16265081,2141,1,3,100,5854500,1
16284218,1666,1,1,100,5857000,1
16284218,7285,1,3,100,5857000,1
16284304,8181,1,1,100,5854500,1
16291236,3304,1,1,18,5857000,1
16291244,2442,1,1,18,5857100,1
16284304,9927,1,3,100,5854500,1
16291389,9681,1,1,100,5856000,1
16291389,3532,1,3,100,5856000,1
16291456,7666,1,1,100,5856100,1
16294463,5224,1,1,100,5857400,1
16295892,8004,1,1,100,5858900,-1
16296644,7586,1,1,100,6200000,-1
15469408,2593,1,3,150,5853000,1
16291236,5400,1,3,18,5857000,1
16291244,1765,1,3,18,5857100,1
16291456,7446,1,3,100,5856100,1
16309766,8554,1,1,100,5854200,1
16310817,2485,1,1,18,5856600,1
16309766,3442,1,3,100,5854200,1
16310958,8029,1,1,100,5854600,1
16310958,5725,1,3,100,5854600,1
16311061,2836,1,1,100,5855400,1
16311061,4177,1,3,100,5855400,1
16314560,4985,1,1,100,5855600,1
16316688,9883,1,1,18,5856900,1
16314560,5904,1,3,100,5855600,1
16316953,5003,1,1,100,5855100,1
3647224,5127,1,1,15,5855900,1
4566937,647,1,1,5,5859800,-1
